Display Name,Username,Tweet Text,Promoted
The Blues,@BluesRugbyTeam,"THIS Melani Nanai special against the @ChiefsRugby from 2016   Be there this Friday as we open the 25th @SuperRugbyNZ against our closest rivals.

Kick off is 7.05pm at Eden Park #25seasons  #BluesAllDay  #WhateverItTakes 
Video Src: blob:https://twitter.com/c23e5f02-418b-43aa-bbe0-27d459029a21",False
Super Rugby,@SuperRugbyNZ,"Who will win the #SuperRugby season opener?  7.05pm, Friday  Eden Park   #BLUvCHI    @skysportnz    http://bit.ly/2Rv0foE 
Attachment: https://t.co/gqWeMcgvVY?amp=1",False
Crusaders,@crusadersrugby,"This Saturday we kick off our 25th @SuperRugbyNZ season in our new jerseys featuring our new Tohu   Although the replica jerseys in retail won't feature our Tohu, Monteith's will be giving fans the opportunity to also wear it - more info to come! http://crusaders.co.nz/news 
Attachment: https://t.co/f24oj5pFXe?amp=1
Photo Src: https://pbs.twimg.com/media/EPT8l64VUAAQHoJ?format=jpg&name=small",False
Rugby World,@Rugbyworldmag,"SNEAK PEEK! Our Six Nations special – with FREE wallchart – is on sale tomorrow. Find out what's inside here  https://rugbyworld.com/in-the-mag/current-issue/free-six-nations-wallchart-with-rugby-worlds-new-issue-106984… 
Attachment: https://t.co/wIP4HPHqCN?amp=1
Photo Src: https://pbs.twimg.com/media/EPTf1TbWkAAjgmq?format=jpg&name=900x900",False
World Rugby,@WorldRugby,Which #SixNations game will you be watching this weekend? ,False
World Rugby,@WorldRugby,"Making moves  England and Lions prop Kyle Sinckler has agreed a two year deal to join @BristolBears from Harlequins  Can the @rugbyworldcup try scorer help the Bears win a title? 
Photo Src: https://pbs.twimg.com/media/EPTMoQ4WsAUCxEY?format=jpg&name=small",False
Scottie Pippen,@ScottiePippen,"Heartbroken to look back on this. Kobe and Gigi, you’re both GOATs in my eyes and I know that one-on-ones like this will live on forever. 
Video Src: blob:https://twitter.com/012b6acf-7be1-4589-aee5-c869b64ccf14",False
Super Rugby,@SuperRugbyNZ," SCENES! Ahead of the #SuperRugby opener between @BluesRugbyTeam and @ChiefsRugby this Friday, we recall their last clash at Eden Park where the Blues snapped an eight-year streak against their neighbours.

Can they double-down at the Garden this Friday? #RugbyRecoded 
Video Src: blob:https://twitter.com/719b7c0a-7e9c-4e75-adbe-6e8b32b7372d",False
The Blues,@BluesRugbyTeam,"#MambaForever    
Photo Src: https://pbs.twimg.com/media/EPQAn7VUEAEfQ9w?format=jpg&name=small",False
Anton Lienert-Brown,@AntonLB95,"RIP Legend  ! 
Photo Src: https://pbs.twimg.com/media/EPPIjn3UYAE3DDe?format=jpg&name=small",False
Super Rugby,@SuperRugbyNZ,"Who will rise to the top of the NZ Conference in 2020? 

Check out our NZ conference preview and make your call   http://bit.ly/37v5NFq  #SuperRugby 
Attachment: https://t.co/8obyOCTF6K?amp=1
Photo Src: https://pbs.twimg.com/media/EPPZ9MWVAAEkt5M?format=jpg&name=small",False
Julian Savea,@juliansavea7,RIP legend and little Gianna. My heart is breaking for his family  ,False
Dan Carter,@DanCarter,"Rest In Peace, Kobe and Gianna Bryant. Taken far too soon. My thoughts are with the Bryant family at this incredibly difficult time, and the families of the others that passed in that tragic crash. Very sad. 
Photo Src: https://pbs.twimg.com/media/EPPmTVNXsAEkNrx?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EPPmTVNWoAIiylP?format=jpg&name=360x360",False
Matt Giteau,@giteau_rugby,No point constantly planning for a future. We need to just live it now & enjoy what we really have. Awful way to regain perspective sometimes. This is just so sad   ,False
Jerome Kaino,@jeromekaino,"   
Video Src: blob:https://twitter.com/9b806230-7477-4c0f-bdf8-3f2a548a4193",False
Super Rugby,@SuperRugbyNZ," ICYMI | #SuperRugby kicks off this Friday at the new time of 7.05pm NZT! Round one schedule    
Photo Src: https://pbs.twimg.com/media/EPPXw0lU8AEfDN3?format=jpg&name=small",False
Jerome Kaino,@jeromekaino,"   
Video Src: blob:https://twitter.com/e746a1dd-e840-4d31-ac74-cdb89856b458",False
Steven Luatua,@StevenLuatua,"Briiissssstollll 
Photo Src: https://pbs.twimg.com/media/EPJC92eU0AI1vDF?format=jpg&name=small",False
Hurricanes Rugby,@Hurricanesrugby,"  @NLaumape  @SuperRugbyNZ 
Photo Src: https://pbs.twimg.com/media/EPJ2SYOU4AA1CbY?format=jpg&name=900x900",False
Hurricanes Rugby,@Hurricanesrugby,"#KiaKahaFats 
Photo Src: https://pbs.twimg.com/media/EPJk-_VWAAETZYu?format=jpg&name=small",False
The Blues,@BluesRugbyTeam,"Our skipper, Patrick Tuipulotu made his Blues debut in 2014 and by the look of these photos, he hasn’t aged a day since #25seasons  #BluesAllDay  #WhateverItTakes 
Photo Src: https://pbs.twimg.com/media/EPJt-rlU4AUHsdN?format=jpg&name=small
Photo Src: https://pbs.twimg.com/media/EPJt-roU4AACNB_?format=jpg&name=small",False
Malakai Fekitoa,@MalakaiFekitoa,"Well done lads     
Photo Src: https://pbs.twimg.com/media/EPJns0QXUAEJiF9?format=jpg&name=small",False
Steven Luatua,@StevenLuatua,BRISSSSSTOLLL      ,False
Rugby World,@Rugbyworldmag,"What are some of your favourite Six Nations tries?? http://expi.co/01nd34 
Attachment: https://t.co/iTwFtydO5x?amp=1
Photo Src: https://pbs.twimg.com/media/EPJGGD3WkAAHrHm?format=png&name=small",False
