Display Name,Username,Tweet Text,Promoted,Tweet Category,Opposite Category
XPG,@XPG_Global,"A FULL XPG set up  Which part do you want most ?

A.  XPG INVADER Mid-Tower PC Chassis
B.  XPG PRECOG Gaming Headset
C.  XPG SUMMONER Gaming Keyboard
D.  XPG INFAREX M20 Gaming Mouse #XPG  #XtremePerformanceGear  #XPGSUMMONER  #XPGINVADER  #XPGPRECOG  #XPGINFAREX ",True,it & technical jobs,phone
"Datadog, Inc.",@datadoghq,"Monitor your dynamic, auto-scaling apps and infrastructure with Datadog. Correlate your metrics, logs, and traces; collaborate across #dev and #ops ; and get detailed context for troubleshooting issues in real time. Start a free trial today: ",True,"fraternities, sororities & student societies",irish
